model,pair_id,scenario_id,axis,source_basis,query_token_jaccard,query_sequence_similarity,focal_allow_correct,focal_block_correct,strict_focal_pair_consistency,focal_direction_accuracy,focal_directional_margin,focal_unknown_argmax_rate,stable_control_accuracy,stable_control_overflip_rate,stable_control_correct_count,stable_control_judgment_count,stable_control_overflip_count,stable_control_candidate_count,candidate_accuracy,candidate_correct_count,candidate_judgment_count,candidate_multiclass_brier,candidate_multiclass_brier_sum,candidate_unknown_argmax_rate,candidate_unknown_argmax_count,candidate_unknown_probability,candidate_unknown_probability_sum
released_oracle,scope-market-p1,scope-market,principal_scope,rhelm_wrong_namespace_market,0.9166666666666666,0.9461077844311377,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,scope-market-p2,scope-market,principal_scope,rhelm_wrong_namespace_market,0.9166666666666666,0.9403973509933775,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,scope-shipping-p1,scope-shipping,principal_scope,controlled_shipping_address,0.9,0.9365079365079365,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,scope-shipping-p2,scope-shipping,principal_scope,controlled_shipping_address,0.9090909090909091,0.9411764705882353,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,scope-project-p1,scope-project,principal_scope,controlled_project_namespace,0.9,0.9343065693430657,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,scope-project-p2,scope-project,principal_scope,controlled_project_namespace,0.75,0.9180327868852459,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,scope-calendar-p1,scope-calendar,principal_scope,controlled_calendar_preference,0.9,0.9428571428571428,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,scope-calendar-p2,scope-calendar,principal_scope,controlled_calendar_preference,0.9,0.9322033898305084,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-lisbon-p1,intent-lisbon,lifecycle_intent,memops_superseded_lisbon_date,0.5384615384615384,0.8467153284671532,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-lisbon-p2,intent-lisbon,lifecycle_intent,memops_superseded_lisbon_date,0.75,0.8840579710144928,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-medication-p1,intent-medication,lifecycle_intent,memops_historical_metformin_timeline,0.5454545454545454,0.8548387096774194,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-medication-p2,intent-medication,lifecycle_intent,memops_historical_metformin_timeline,0.7272727272727273,0.8787878787878788,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-deadline-p1,intent-deadline,lifecycle_intent,controlled_project_deadline,0.5,0.8205128205128205,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-deadline-p2,intent-deadline,lifecycle_intent,controlled_project_deadline,0.7272727272727273,0.873015873015873,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-address-p1,intent-address,lifecycle_intent,controlled_address_update,0.7272727272727273,0.8709677419354839,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,intent-address-p2,intent-address,lifecycle_intent,controlled_address_update,0.75,0.8827586206896552,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-incident-p1,policy-incident,policy_purpose,controlled_restricted_incident_note,0.7142857142857143,0.8888888888888888,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-incident-p2,policy-incident,policy_purpose,controlled_restricted_incident_note,0.5714285714285714,0.7724137931034483,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-expense-p1,policy-expense,policy_purpose,controlled_expense_review,0.6666666666666666,0.8527131782945736,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-expense-p2,policy-expense,policy_purpose,controlled_expense_review,0.6666666666666666,0.8707482993197279,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-medical-p1,policy-medical,policy_purpose,controlled_medical_consent,0.6153846153846154,0.7945205479452054,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-medical-p2,policy-medical,policy_purpose,controlled_medical_consent,0.6153846153846154,0.7972972972972973,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-forget-audit-p1,policy-forget-audit,policy_purpose,memops_forgotten_phone_detail,0.75,0.8843537414965986,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
released_oracle,policy-forget-audit-p2,policy-forget-audit,policy_purpose,memops_forgotten_phone_detail,0.75,0.8982035928143712,True,True,1,1,1.0,0.0,1.0,0.0,4,4,0,2,1.0,6,6,0.0,0.0,0.0,0,0.0,0.0
