group_type,group_value,field,n,exact_agreement,cohen_kappa,gwet_ac1,cheap_positive_strong_negative,cheap_negative_strong_positive
overall,all,protected_disclosure,200,0.975,0.654218533886584,0.973054900639946,1,4
overall,all,stale_disclosure,200,0.97,0.5562130177514796,0.9678266931202745,4,2
reader_panel,original_two_reader,protected_disclosure,134,0.9626865671641791,0.2701525054466243,0.960686518996626,1,4
reader_panel,original_two_reader,stale_disclosure,134,0.9776119402985075,0.38905775075987853,0.9767609908373559,2,1
reader_panel,sequential_gpt_reader,protected_disclosure,66,1.0,1.0,1.0,0,0
reader_panel,sequential_gpt_reader,stale_disclosure,66,0.9545454545454546,0.6425992779783396,0.9479289940828403,2,1
reader,DeepSeek,protected_disclosure,67,0.9701492537313433,0.0,0.9692448932751894,0,2
reader,DeepSeek,stale_disclosure,67,0.9850746268656716,0.0,0.9848501978518936,0,1
reader,Gemini,protected_disclosure,67,0.9552238805970149,0.37770897832817274,0.9517580703228129,1,2
reader,Gemini,stale_disclosure,67,0.9701492537313433,0.48854961832061244,0.968314022227477,2,0
reader,OpenAI,protected_disclosure,66,1.0,1.0,1.0,0,0
reader,OpenAI,stale_disclosure,66,0.9545454545454546,0.6425992779783396,0.9479289940828403,2,1
source,memops,protected_disclosure,100,0.95,0.6408045977011494,0.9419448476052249,1,4
source,memops,stale_disclosure,100,0.94,0.5398773006134964,0.9310186249712576,4,2
source,rhelm,protected_disclosure,100,1.0,1.0,1.0,0,0
source,rhelm,stale_disclosure,100,1.0,1.0,1.0,0,0
route,global_dense,protected_disclosure,67,1.0,1.0,1.0,0,0
route,global_dense,stale_disclosure,67,0.9850746268656716,0.6598984771573595,0.984391380314502,1,0
route,namespace_dense,protected_disclosure,67,0.9402985074626866,-0.022900763358775084,0.936628044454954,1,3
route,namespace_dense,stale_disclosure,67,0.9402985074626866,-0.022900763358775084,0.936628044454954,3,1
route,namespace_policy_gate,protected_disclosure,66,0.9848484848484849,0.8493150684931506,0.9831568202118157,0,1
route,namespace_policy_gate,stale_disclosure,66,0.9848484848484849,0.8493150684931506,0.9831568202118157,0,1
stratum,DeepSeek/memops/global_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,DeepSeek/memops/global_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,DeepSeek/memops/namespace_dense,protected_disclosure,11,0.9090909090909091,0.0,0.9004524886877827,0,1
stratum,DeepSeek/memops/namespace_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,DeepSeek/memops/namespace_policy_gate,protected_disclosure,11,0.9090909090909091,0.0,0.9004524886877827,0,1
stratum,DeepSeek/memops/namespace_policy_gate,stale_disclosure,11,0.9090909090909091,0.0,0.9004524886877827,0,1
stratum,DeepSeek/rhelm/global_dense,protected_disclosure,12,1.0,1.0,1.0,0,0
stratum,DeepSeek/rhelm/global_dense,stale_disclosure,12,1.0,1.0,1.0,0,0
stratum,DeepSeek/rhelm/namespace_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,DeepSeek/rhelm/namespace_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,DeepSeek/rhelm/namespace_policy_gate,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,DeepSeek/rhelm/namespace_policy_gate,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/memops/global_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/memops/global_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/memops/namespace_dense,protected_disclosure,12,0.75,-0.1249999999999995,0.68,1,2
stratum,Gemini/memops/namespace_dense,stale_disclosure,12,0.8333333333333334,0.0,0.8032786885245902,2,0
stratum,Gemini/memops/namespace_policy_gate,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/memops/namespace_policy_gate,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/rhelm/global_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/rhelm/global_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/rhelm/namespace_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/rhelm/namespace_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/rhelm/namespace_policy_gate,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,Gemini/rhelm/namespace_policy_gate,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/memops/global_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/memops/global_dense,stale_disclosure,11,0.9090909090909091,0.6206896551724138,0.8810810810810811,1,0
stratum,OpenAI/memops/namespace_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/memops/namespace_dense,stale_disclosure,11,0.8181818181818182,-0.09999999999999892,0.7821782178217822,1,1
stratum,OpenAI/memops/namespace_policy_gate,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/memops/namespace_policy_gate,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/rhelm/global_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/rhelm/global_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/rhelm/namespace_dense,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/rhelm/namespace_dense,stale_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/rhelm/namespace_policy_gate,protected_disclosure,11,1.0,1.0,1.0,0,0
stratum,OpenAI/rhelm/namespace_policy_gate,stale_disclosure,11,1.0,1.0,1.0,0,0
