reader_provider,reader_model,source,arm,reference,metric,mean_delta_arm_minus_reference,bootstrap_ci95_lower,bootstrap_ci95_upper,paired_case_count,namespace_group_count,bootstrap_replicates
DeepSeek,deepseek-v4-pro,rhelm,namespace_dense,global_dense,evidence_recall,0.10214953412850163,0.06612683438155136,0.13712695133149677,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_dense,global_dense,feasible,0.08986615678776291,0.05514705882352941,0.12688172043010754,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.12106801328057003,-0.16208290097210928,-0.0796205154962217,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_dense,global_dense,answer_correct,0.021032504780114723,-0.03690685413005272,0.07462686567164178,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_dense,global_dense,answer_quality,0.017782026768642444,-0.01547826086956522,0.04776119402985074,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_dense,global_dense,non_answer,-0.04397705544933078,-0.07520325203252033,-0.016245487364620937,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_policy_gate,namespace_dense,answer_correct,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_policy_gate,namespace_dense,answer_quality,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_policy_gate,namespace_dense,non_answer,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_text_verifier,namespace_dense,evidence_recall,-0.0031412182463807703,-0.0069387755102040816,-0.0002506265664160401,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_text_verifier,namespace_dense,feasible,-0.0019120458891013384,-0.0056925996204933585,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_text_verifier,namespace_dense,penalized_admissibility_upper_risk,0.0019120458891013384,0.0,0.005639097744360902,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_text_verifier,namespace_dense,answer_correct,0.0038240917782026767,-0.0037174721189591076,0.010186757215619695,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_text_verifier,namespace_dense,answer_quality,0.000956022944550669,-0.0043782837127845885,0.005613305613305613,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,namespace_text_verifier,namespace_dense,non_answer,-0.0019120458891013384,-0.0054249547920434,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,released_field_oracle,namespace_dense,evidence_recall,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,released_field_oracle,namespace_dense,feasible,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,released_field_oracle,namespace_dense,penalized_admissibility_upper_risk,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,released_field_oracle,namespace_dense,answer_correct,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,released_field_oracle,namespace_dense,answer_quality,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,rhelm,released_field_oracle,namespace_dense,non_answer,0.0,0.0,0.0,523,7,10000
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,evidence_recall,0.10589246031746032,0.08602134815031437,0.12708174603174605,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,feasible,0.06,0.04222648752399232,0.07914438502673797,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.04842975335208308,-0.062326458387792764,-0.03586148395482199,1000,80,10000
DeepSeek,deepseek-v4-pro,memops,namespace_dense,global_dense,answer_correct,0.084,0.0519730510105871,0.11637080867850098,1000,80,10000
