reader_provider,reader_model,arm,reference,metric,mean_delta_arm_minus_reference,bootstrap_ci95_lower,bootstrap_ci95_upper,paired_query_count,namespace_group_count,bootstrap_replicates
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,evidence_recall,0.10402099722298097,0.08354954807258205,0.12427538066672583,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,feasible,0.07493307839388146,0.055382597514562246,0.09632997651487461,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.08474888331632655,-0.10674769062039698,-0.0628211552725268,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,answer_correct,0.05251625239005736,0.020302553796217655,0.08373816977940912,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,answer_quality,0.042591013384321225,0.02268125753147638,0.06165575463488798,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,over_refusal,-0.04848852772466539,-0.06798477976709182,-0.03051346908446869,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,protected_disclosure,-0.0063532401524777635,-0.02625,0.012622720897615708,787,80,10000
DeepSeek,deepseek-v4-pro,namespace_dense,global_dense,stale_disclosure,0.008,-0.011549566891241578,0.030828516377649325,1000,80,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,-0.019200305740011622,-0.022935897976836643,-0.015693928750944032,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,answer_correct,0.0065,-0.00891089108910891,0.022035676810073453,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,answer_quality,0.0028499999999999992,-0.006880733944954129,0.012127045235803657,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,over_refusal,0.005,-0.007616974972796518,0.01744186046511628,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,protected_disclosure,0.0063532401524777635,-0.01591187270501836,0.029593094944512947,787,80,10000
DeepSeek,deepseek-v4-pro,namespace_policy_gate,namespace_dense,stale_disclosure,-0.01,-0.033364226135310475,0.010706638115631691,1000,80,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,evidence_recall,-0.0177723948374761,-0.024096836938031812,-0.012180854178896305,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,feasible,-0.01245602294455067,-0.018477215609267295,-0.007204610951008645,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,penalized_admissibility_upper_risk,0.006754085054009838,0.002383160884238606,0.011510807041683866,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,answer_correct,0.009912045889101339,-0.003548954098404648,0.02255106198600853,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,answer_quality,0.005028011472275335,-0.0041314291865775545,0.013856227106227106,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,over_refusal,-0.0049560229445506695,-0.015424405232679704,0.006648815208987129,1523,87,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,protected_disclosure,-0.0025412960609911056,-0.02607561929595828,0.021352313167259787,787,80,10000
DeepSeek,deepseek-v4-pro,namespace_text_verifier,namespace_dense,stale_disclosure,-0.005,-0.022526934378060724,0.012371134020618556,1000,80,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,evidence_recall,-0.010329761904761904,-0.014246506986027944,-0.0068649045521292215,1523,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,feasible,-0.009,-0.01488095238095238,-0.0040609137055837565,1523,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,penalized_admissibility_upper_risk,-0.015778986903619254,-0.021084891493129553,-0.010449729395722638,1523,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,answer_correct,0.005,-0.010718113612004287,0.020673076923076922,1523,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,answer_quality,0.00165,-0.0075075075075075074,0.01072463768115942,1523,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,over_refusal,0.0065,-0.005813953488372093,0.018724696356275303,1523,87,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,protected_disclosure,0.0012706480304955528,-0.0189873417721519,0.02194787379972565,787,80,10000
DeepSeek,deepseek-v4-pro,released_field_oracle,namespace_dense,stale_disclosure,-0.003,-0.025616698292220113,0.018518518518518517,1000,80,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,evidence_recall,0.10402099722298097,0.08342454334136107,0.1243956022003487,1523,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,feasible,0.07493307839388146,0.0550117244527137,0.09610959866514446,1523,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,penalized_admissibility_upper_risk,-0.08474888331632655,-0.10663983746110495,-0.06262257189573994,1523,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,answer_correct,0.06763671128107074,0.04670322741046881,0.09021352701258478,1523,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,answer_quality,0.049923709369024856,0.03629559488459981,0.06475457887065086,1523,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,over_refusal,-0.04053250478011472,-0.05739330863956986,-0.02489747947045475,1523,87,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,protected_disclosure,0.012706480304955527,-0.005076142131979695,0.030927835051546393,787,80,10000
Gemini,gemini-3.6-flash,namespace_dense,global_dense,stale_disclosure,0.0,-0.011518324607329843,0.012084592145015106,1000,80,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,evidence_recall,0.0,0.0,0.0,1523,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,feasible,0.0,0.0,0.0,1523,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,penalized_admissibility_upper_risk,-0.019200305740011622,-0.022980833573497114,-0.015690832511635923,1523,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,answer_correct,-0.0045,-0.019956850053937433,0.011439466158245948,1523,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,answer_quality,-0.0021000000000000007,-0.011190965092402465,0.006653426017874875,1523,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,over_refusal,0.008,-0.003538928210313448,0.019153225806451613,1523,87,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,protected_disclosure,0.010165184243964422,-0.011811023622047244,0.032552083333333336,787,80,10000
Gemini,gemini-3.6-flash,namespace_policy_gate,namespace_dense,stale_disclosure,0.02,0.002952755905511811,0.038461538461538464,1000,80,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,evidence_recall,-0.0177723948374761,-0.02412664082121945,-0.012238653904529396,1523,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,feasible,-0.01245602294455067,-0.018248513063127744,-0.007183908045977011,1523,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,penalized_admissibility_upper_risk,0.006754085054009838,0.002406702503193534,0.011451048402700982,1523,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,answer_correct,-0.014868068833652008,-0.02826788870149825,-0.0010581427390465691,1523,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,answer_quality,-0.009607648183556406,-0.018236974838916585,-0.0006258831021512862,1523,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,over_refusal,0.00854397705544933,-0.0021642783983765517,0.01977972988034084,1523,87,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,protected_disclosure,0.0012706480304955528,-0.0196078431372549,0.021739130434782608,787,80,10000
Gemini,gemini-3.6-flash,namespace_text_verifier,namespace_dense,stale_disclosure,0.009,-0.005336179295624333,0.023,1000,80,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,evidence_recall,-0.010329761904761904,-0.014242487966727417,-0.006862269641125122,1523,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,feasible,-0.009,-0.014750762970498474,-0.004077471967380225,1523,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,penalized_admissibility_upper_risk,-0.015778986903619254,-0.021149528519591374,-0.0105565895126114,1523,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,answer_correct,-0.0065,-0.0218052738336714,0.0085,1523,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,answer_quality,-0.0028500000000000005,-0.012396694214876033,0.006653225806451613,1523,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,over_refusal,0.0085,-0.0025951557093425604,0.018950437317784258,1523,87,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,protected_disclosure,0.0,-0.019975031210986267,0.021108179419525065,787,80,10000
Gemini,gemini-3.6-flash,released_field_oracle,namespace_dense,stale_disclosure,0.024,0.0076263107721639654,0.04183266932270916,1000,80,10000
